"","Plot","Azimuth","Aspect","Date.Sampled","Overstory.tree..","pre.fire.dead.tally","Slope","Elevation","Description","Notes","Lat","Long"
"61","FL-B7-3",134,"E","6/9/23",0,5,4,1539,"snowbrush dominated w/ moderate-to-heavy pipo regen; ground covered in grasses; slight slope @ bottom of a small valley - both valleysides dominated by snowbrush w/ little pipo regen @ trough of valley (where site center is); some evidence of post fire logging closer to road","ALL DENSIOMETER = saplings or dead trees",44.203420158,-119.180094152
"62","WH-1-1",285,"W","7/20/23",15,10,19,1055,"moderate to heavy regen of pipo, psme and laoc; otherwise, mixed shrubs and grasses and sparce herbs; creek to west -- on valley slope; rocky soil, but no large rocks","",44.939279198,-119.854064861
"63","WH-1-2",214,"S","7/20/23",5,4,15,1180,"light pipo, juoc regen; grasses dominant w/ low growing shrubs scattered; high mortality (lots of fallen wood); shallow slope; possible grasses: festuca, tall red oat, smooth brome","",44.952720836,-119.873846052
"64","WH-1-3",203,"S","7/21/23",0,1,29,1426,"very little regen of pipo; steep very rocky slope (large and very loose rocky substrate); many pipo snags; shrub dominated w snowbrush, serviceberry and prunus; scattered grasses and herbs; high mortality and high sun exposure","",44.960611047,-119.890142491
"65","WH-1-X",157,"S","7/21/23",0,1,30,1226,"very low regen psme, pipo and young trees in site; dominated by festuca grasses w/ sparce shrubs and herbs; high mortality of pipo; moderate slope w/ high sun exposure; no logging","",44.954237604,-119.877714187
"66","WH-2-1",234,"W","7/20/23",0,3,31,1352,"very little regen; mixed shrubs (snowbrush, chokecherry, snowberry); herbs and grasses scattered; steep rocky slope; moderate PIPO and PSME regen to west (downhill); open hillside w/ igneous rock substrate; large dead pipo still standing at top of site","",44.954966429,-119.899516376
"67","WH-2-2",120,"E","7/21/23",20,2,18,1165,"moderate to heavy pipo, juoc regen w/ a few larch; understory dominated by long grasses (festuca); scattered shrubs (mostly low-growing); shallow slope on margins of high severity burn w/ live trees to N and E","",44.949958746,-119.865569131
"68","WH-2-3",56,"E","7/20/23",30,7,21,1332,"heavy regen of pipo, laoc, psme; lots of young (around 20y.o.) trees; also, lots of shrubs (snowberry, snowbrush and others); ground covered in grass; not too many herbs; high severity (??) -- not too many burnt trees in sight from site center; pipo and laoc dominant overstory","",44.959343908,-119.879273959
"69","WH-2-X",311,"W","7/22/23",0,0,18,1165,"very low regen pipo, psme, juoc; high mortality of psme; no logging; moderate slope w/ rocky soils; dominated by grasses, sparce shrubs and herbs; on N-facing hillside; lots of ungulate droppings","",44.94162619,-119.844086993
"70","WH-3-1",123,"E","7/21/23",0,1,22,1318,"moderate pipo regen; scattered snowbrush and snowberry; grasses dominant (mostly festuca); steep, rocky slope w/ high sun exposure; hillside spotted w/ large pipo snags above site","",44.955969166,-119.82171311
"71","WH-3-2",233,"W","7/21/23",0,9,39,1221,"little regen of pipo (maybe outside of plot); dominated by snowbrush and snowberry w/ patch of thistle; festuca grass filling in gaps","aspect formerly noted as south! Photos, understory cover and densiometer reflect that ",44.95296922,-119.836275983
"72","WH-3-3",200,"S","7/20/23",10,3,29,1376,"moderate regen of pipo and psme; see one laoc; otherwise, understory dominated by snowbrush and other mixed shrubs; rocky w/ large boulders; to south, heavier regen and some live seeding trees; to north (uphill) light regen and lots of mixed shrubs; rocky slope","",44.957302866,-119.904486464
"73","WH-3-X",217,"S","7/22/23",0,2,17,1234,"low regen of pipo, juoc, psme; shrubs (primarily snowbrush) and grasses codominant w/ large patch of thistle in site as well; high mortality of pipo and psme; moderately shallow slope w/ active spring running through site influencing vegetation composition","",44.951722161,-119.820143965
"74","WH-4-1",240,"W","7/21/23",45,0,9,1201,"heavy pipo regen w/ psme, laoc; juoc also present; bunchgrasses, snowbrush, and oregon grape common; shallow slope; very close to WH-5-3 but much more regen; some evidence of PLANTING and postfire logging","",44.951060925,-119.808166488
"75","WH-4-2",334,"N","7/22/23",0,0,20,1144,"low regen of psme and pipo; a couple of juoc in sight; dominated by grasses w/ scattered shrubs (artemisia tridentata and snowbrush); high mortality ith no signs of logging; moderate and rocky slope; lot of ungulate droppings","",44.943278182,-119.845723854
"76","WH-5-1",247,"W","7/21/23",0,2,32,1354,"low regen of psme and pipo; snowbrush dominant; postfire logging in site; on upper part of moderately steep slope; rocky soils; sparce grasses and herbs","",44.964470191,-119.838445966
"77","WH-5-2",263,"W","7/21/23",0,2,12,1190,"moderate regen of psme and pipo; postfire logging; dominated by grasses w/ scattered shrubs; shallow slope; to the W, little regen; to the E, high regen of psme and pipo","",44.954447069,-119.840348197
"78","WH-5-3",229,"W","7/21/23",0,1,14,1187,"moderately heavy pipo and psme regen; snowbrush and bunchgrasses both common; not much evidence of logging; evidence of PLANTING (SEE PHOTO); shallow slope","",44.950182844,-119.809468774
"79","WH-6-3",191,"S","7/20/23",0,2,19,1304,"moderate pipo and psme regen; some juoc; snowbrush dominated; moderate to shallow slope; rocky soil; grass covering bare ground; scattered herbs","",44.956480763,-119.891720658
"80","WH-7-3",290,"W","7/21/23",10,3,21,1258,"heavy pipo, psme, laoc regen; grasses and snowbrush codominant in understory; moderate slope; logging!!","",44.957627599,-119.836292302
